"ccode","cname","year","ccode_qog","cname_qog","ccodealp","ccodecow","version","cname_year","ccodealp_year","wdi_expedu"
32,"Argentina",1970,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1970","ARG70",1.46
32,"Argentina",1972,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1972","ARG72",1.94
32,"Argentina",1973,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1973","ARG73",1.78
32,"Argentina",1974,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1974","ARG74",1.92
32,"Argentina",1975,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1975","ARG75",1.84
32,"Argentina",1976,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1976","ARG76",1.17
32,"Argentina",1977,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1977","ARG77",1.72
32,"Argentina",1978,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1978","ARG78",1.94
32,"Argentina",1979,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1979","ARG79",2.4
32,"Argentina",1980,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1980","ARG80",2.61
32,"Argentina",1982,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1982","ARG82",1.6
32,"Argentina",1983,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1983","ARG83",1.62
32,"Argentina",1984,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1984","ARG84",2.57
32,"Argentina",1985,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1985","ARG85",1.36
32,"Argentina",1986,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1986","ARG86",1.26
32,"Argentina",1987,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1987","ARG87",1.28
32,"Argentina",1989,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1989","ARG89",1.05
32,"Argentina",1990,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1990","ARG90",1.07
32,"Argentina",1996,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1996","ARG96",3.73
32,"Argentina",1998,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1998","ARG98",4.04
32,"Argentina",1999,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 1999","ARG99",4.52
32,"Argentina",2000,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2000","ARG00",4.58
32,"Argentina",2001,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2001","ARG01",4.83
32,"Argentina",2002,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2002","ARG02",4.02
32,"Argentina",2003,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2003","ARG03",3.54
32,"Argentina",2004,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2004","ARG04",3.49
32,"Argentina",2005,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2005","ARG05",3.86
32,"Argentina",2006,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2006","ARG06",4.13
32,"Argentina",2007,32,"Argentina","ARG",160,"QoGStdTSjan24","Argentina 2007","ARG07",4.46
