"Country","Year","Education_Expenditure"
"Argentina",1970,1.46
"Argentina",1972,1.94
"Argentina",1973,1.78
"Argentina",1974,1.92
"Argentina",1975,1.84
"Argentina",1976,1.17
"Argentina",1977,1.72
"Argentina",1978,1.94
"Argentina",1979,2.4
"Argentina",1980,2.61
"Argentina",1982,1.6
"Argentina",1983,1.62
"Argentina",1984,2.57
"Argentina",1985,1.36
"Argentina",1986,1.26
"Argentina",1987,1.28
"Argentina",1989,1.05
"Argentina",1990,1.07
"Argentina",1996,3.73
"Argentina",1998,4.04
"Argentina",1999,4.52
"Argentina",2000,4.58
"Argentina",2001,4.83
"Argentina",2002,4.02
"Argentina",2003,3.54
"Argentina",2004,3.49
"Argentina",2005,3.86
"Argentina",2006,4.13
"Argentina",2007,4.46
"Argentina",2008,4.84
"Argentina",2009,5.53
"Argentina",2010,5.02
"Argentina",2011,5.29
"Argentina",2012,5.35
"Argentina",2013,5.44
"Argentina",2014,5.36
"Argentina",2015,5.78
"Argentina",2016,5.55
"Argentina",2017,5.45
"Argentina",2018,4.88
"Argentina",2019,4.78
"Argentina",2020,5.28
"Argentina",2021,4.65
"Brazil",1995,4.57
"Brazil",1998,4.76
"Brazil",1999,3.8
"Brazil",2000,3.95
"Brazil",2001,3.84
"Brazil",2002,3.75
"Brazil",2004,3.97
"Brazil",2005,4.48
"Brazil",2006,4.87
"Brazil",2007,4.97
"Brazil",2008,5.27
"Brazil",2009,5.46
"Brazil",2010,5.65
"Brazil",2011,5.74
"Brazil",2012,5.86
"Brazil",2013,5.84
"Brazil",2014,5.95
"Brazil",2015,6.24
"Brazil",2016,6.31
"Brazil",2017,6.32
"Brazil",2018,6.09
"Brazil",2019,5.96
"Brazil",2020,5.77
"Chile",1974,3.75
"Chile",1975,3.59
"Chile",1978,3.07
"Chile",1979,3.48
"Chile",1980,4.22
"Chile",1981,4.91
"Chile",1987,2.82
"Chile",1990,2.25
"Chile",1993,2.38
"Chile",1994,2.51
"Chile",1995,2.56
"Chile",1996,2.78
"Chile",1997,2.99
"Chile",1998,3.32
"Chile",1999,3.71
"Chile",2000,3.76
"Chile",2002,4.05
"Chile",2003,3.92
"Chile",2004,3.54
"Chile",2005,3.28
"Chile",2006,3.04
"Chile",2007,3.23
"Chile",2008,3.79
"Chile",2009,4.25
"Chile",2010,4.19
"Chile",2011,4.06
"Chile",2012,4.54
"Chile",2013,4.55
"Chile",2014,4.75
"Chile",2015,4.9
"Chile",2016,5.37
"Chile",2017,5.43
"Chile",2018,5.47
"Chile",2019,5.62
"Chile",2020,5.63
"Colombia",1979,1.75
"Colombia",1980,1.73
"Colombia",1981,2.6
"Colombia",1984,3
"Colombia",1985,2.72
"Colombia",1989,2.71
"Colombia",1998,3.93
"Colombia",1999,4.44
"Colombia",2000,3.51
"Colombia",2001,3.71
"Colombia",2002,4.27
"Colombia",2003,4.33
"Colombia",2004,4.08
"Colombia",2005,4.02
"Colombia",2006,3.92
"Colombia",2007,4.08
"Colombia",2008,3.94
"Colombia",2009,4.78
