"Country","Year","GDP_per_Capita"
"Argentina",1950,318.56
"Argentina",1951,343.27
"Argentina",1952,313.06
"Argentina",1953,331.17
"Argentina",1954,343.24
"Argentina",1955,367.78
"Argentina",1956,383.63
"Argentina",1957,409.99
"Argentina",1958,441.96
"Argentina",1959,415.28
"Argentina",1960,445.38
"Argentina",1961,455.89
"Argentina",1962,465.92
"Argentina",1963,448.21
"Argentina",1964,471.63
"Argentina",1965,526.65
"Argentina",1966,544.96
"Argentina",1967,572.19
"Argentina",1968,608.26
"Argentina",1969,692.07
"Argentina",1970,737.44
"Argentina",1971,789.33
"Argentina",1972,823.22
"Argentina",1973,891.34
"Argentina",1974,986.57
"Argentina",1975,1036.8
"Argentina",1976,1101.35
"Argentina",1977,1237.1
"Argentina",1978,1288.31
"Argentina",1979,1452.64
"Argentina",1980,1554.88
"Argentina",1981,1694.99
"Argentina",1982,1910.09
"Argentina",1983,2122.26
"Argentina",1984,2298.31
"Argentina",1985,2299.77
"Argentina",1986,2605.86
"Argentina",1987,2800.57
"Argentina",1988,3037.66
"Argentina",1989,2973.45
"Argentina",1990,3503.31
"Argentina",1991,4195.48
"Argentina",1992,4902.8
"Argentina",1993,5681.72
"Argentina",1994,6698.98
"Argentina",1995,7505.76
"Argentina",1996,9766.89
"Argentina",1997,9952.57
"Argentina",1998,9886.61
"Argentina",1999,9222.31
"Argentina",2000,9053.94
"Argentina",2001,8612.66
"Argentina",2002,7402.7
"Argentina",2003,8068.42
"Argentina",2004,8794.29
"Argentina",2005,9701.86
"Argentina",2006,10726.71
"Argentina",2007,11776.18
"Argentina",2008,12511.48
"Argentina",2009,12813.06
"Argentina",2010,13933.29
"Argentina",2011,15102.61
"Brazil",1950,191.22
"Brazil",1951,205.64
"Brazil",1952,224.88
"Brazil",1953,228.55
"Brazil",1954,243.37
"Brazil",1955,258.89
"Brazil",1956,269.46
"Brazil",1957,294.01
"Brazil",1958,308.68
"Brazil",1959,316.48
"Brazil",1960,342.1
"Brazil",1961,382.06
"Brazil",1962,404.5
"Brazil",1963,424.13
"Brazil",1964,437.25
"Brazil",1965,459.6
"Brazil",1966,481.47
"Brazil",1967,523.92
"Brazil",1968,587.06
"Brazil",1969,609.14
"Brazil",1970,711.81
"Brazil",1971,818.79
"Brazil",1972,933.81
"Brazil",1973,1090.53
"Brazil",1974,1301.73
"Brazil",1975,1447.77
"Brazil",1976,1629.61
"Brazil",1977,1735.78
"Brazil",1978,1882.83
"Brazil",1979,2134.9
"Brazil",1980,2295.03
"Brazil",1981,2548.72
"Brazil",1982,2711.89
"Brazil",1983,2718.13
"Brazil",1984,2857.06
"Brazil",1985,3032.55
"Brazil",1986,3461.46
"Brazil",1987,3608.99
"Brazil",1988,3679.92
"Brazil",1989,3853.11
"Brazil",1990,3838.15
"Brazil",1991,4151.82
"Brazil",1992,4311.15
"Brazil",1993,4674.19
"Brazil",1994,5283.21
"Brazil",1995,6170.58
"Brazil",1996,7472.65
"Brazil",1997,7199.88
"Brazil",1998,6818.91
"Brazil",1999,6537.19
"Brazil",2000,6677.57
"Brazil",2001,6646.47
"Brazil",2002,6651.05
"Brazil",2003,6619.6
"Brazil",2004,7027.97
"Brazil",2005,7378.42
"Brazil",2006,7876.56
"Brazil",2007,8458.79
"Brazil",2008,8941.49
"Brazil",2009,8970.06
"Brazil",2010,9498.56
"Brazil",2011,9815.24
"Chile",1950,578.13
"Chile",1951,614.41
"Chile",1952,662.83
"Chile",1953,674.54
"Chile",1954,716.59
"Chile",1955,697.99
"Chile",1956,695.35
"Chile",1957,775.58
"Chile",1958,804.1
"Chile",1959,785.86
"Chile",1960,829.47
"Chile",1961,790.68
"Chile",1962,976.62
"Chile",1963,1005.44
"Chile",1964,1032.98
"Chile",1965,990.95
"Chile",1966,1117.51
"Chile",1967,1192.43
"Chile",1968,1254.9
"Chile",1969,1384.63
"Chile",1970,1437.2
"Chile",1971,1679.08
"Chile",1972,1722.26
"Chile",1973,1742.46
"Chile",1974,1766.75
"Chile",1975,1611.73
"Chile",1976,1755.5
"Chile",1977,2011.56
"Chile",1978,2287.47
