"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Argentina",1980,40.8,0,2.61,1554.88
"Colombia",1980,55.1,9.9,1.73,3200.36
"Argentina",1986,42.8,25.1,1.26,2605.86
"Costa Rica",1986,34.4,21.2,4.42,4280.42
"Argentina",1987,45.3,25.1,1.28,2800.57
"Chile",1987,56.2,0,2.82,3736.18
"Colombia",1988,53.1,10.3,2.22,4205.93
"Colombia",1989,52.8,10.3,2.71,4347.87
"Costa Rica",1989,45.5,21.2,4.08,4696.45
"Mexico",1989,50.1,11.4,2.28,6301.17
"Chile",1990,57.2,24.2,2.25,4846.59
"Costa Rica",1990,45.2,24,3.95833333333333,4867.36
"Argentina",1991,46.8,27.3,1.68833333333333,4195.48
"Colombia",1991,51.3,9.7,3.1425,4633.03
"Costa Rica",1991,46.6,24,3.83666666666667,4995.08
"Argentina",1992,45.5,27.3,2.09666666666667,4902.8
"Chile",1992,54.8,24.2,2.38,5995.34
"Colombia",1992,51.4,9.7,3.575,4857.39
"Costa Rica",1992,45.6,24,3.715,5451.11
"Mexico",1992,52.3,11.4,3.01,7481.28
"Argentina",1993,44.8,27.3,2.505,5681.72
"Costa Rica",1993,45.9,24,3.59333333333333,5808.41
"Argentina",1994,45.9,27.3,2.91333333333333,6698.98
"Chile",1994,56.4,21.5,2.51,6974.11
"Costa Rica",1994,46.7,25.6,3.47166666666667,6072.82
"Mexico",1994,53.4,19.8,3.65,8015.59
"Argentina",1995,48.9,25.3,3.32166666666667,7505.76
"Brazil",1995,59.5,25.7,4.57,6170.58
"Costa Rica",1995,45.7,25.6,3.35,6225.37
"Argentina",1996,49.5,25.3,3.73,9766.89
"Brazil",1996,59.8,25.7,4.63333333333333,7472.65
"Chile",1996,54.9,21.5,2.78,8341.81
"Colombia",1996,56.8,10.3,4.0075,5666.07
"Costa Rica",1996,46.5,25.6,3.89,5993.16
"Mexico",1996,52,19.8,3.51,7378.19
"Argentina",1997,49.1,25.3,3.885,9952.57
"Brazil",1997,59.8,25.7,4.69666666666667,7199.88
"Costa Rica",1997,45.6,25.6,4.39,6383.37
"Argentina",1998,50.7,25.3,4.04,9886.61
