"Country.Name","Country.Code","Year","GINI_Index"
"Argentina","ARG",1980,40.8
"Colombia","COL",1980,55.1
"Brazil","BRA",1981,57.9
"Costa Rica","CRI",1981,47.5
"Brazil","BRA",1982,58.4
"Brazil","BRA",1983,58.9
"Brazil","BRA",1984,58.3
"Brazil","BRA",1985,55.5
"Argentina","ARG",1986,42.8
"Brazil","BRA",1986,58.4
"Costa Rica","CRI",1986,34.4
"Argentina","ARG",1987,45.3
"Brazil","BRA",1987,59.6
"Chile","CHL",1987,56.2
"Brazil","BRA",1988,61.4
"Colombia","COL",1988,53.1
"Brazil","BRA",1989,63.2
"Colombia","COL",1989,52.8
"Costa Rica","CRI",1989,45.5
"Mexico","MEX",1989,50.1
"Brazil","BRA",1990,60.4
"Chile","CHL",1990,57.2
"Costa Rica","CRI",1990,45.2
"Argentina","ARG",1991,46.8
"Colombia","COL",1991,51.3
"Costa Rica","CRI",1991,46.6
"Argentina","ARG",1992,45.5
"Brazil","BRA",1992,53.1
"Chile","CHL",1992,54.8
"Colombia","COL",1992,51.4
"Costa Rica","CRI",1992,45.6
"Mexico","MEX",1992,52.3
"Argentina","ARG",1993,44.8
"Brazil","BRA",1993,60.1
"Costa Rica","CRI",1993,45.9
"Argentina","ARG",1994,45.9
"Chile","CHL",1994,56.4
"Costa Rica","CRI",1994,46.7
"Mexico","MEX",1994,53.4
"Argentina","ARG",1995,48.9
"Brazil","BRA",1995,59.5
"Costa Rica","CRI",1995,45.7
"Argentina","ARG",1996,49.5
"Brazil","BRA",1996,59.8
"Chile","CHL",1996,54.9
"Colombia","COL",1996,56.8
"Costa Rica","CRI",1996,46.5
"Mexico","MEX",1996,52
"Argentina","ARG",1997,49.1
"Brazil","BRA",1997,59.8
"Costa Rica","CRI",1997,45.6
"Peru","PER",1997,53.3
"Argentina","ARG",1998,50.7
"Brazil","BRA",1998,59.6
"Chile","CHL",1998,55.5
"Costa Rica","CRI",1998,45.6
"Mexico","MEX",1998,53.3
"Peru","PER",1998,55.1
"Argentina","ARG",1999,49.8
"Brazil","BRA",1999,59
"Colombia","COL",1999,58.5
"Costa Rica","CRI",1999,47.6
"Peru","PER",1999,54.8
"Argentina","ARG",2000,51
"Chile","CHL",2000,52.8
"Colombia","COL",2000,58.4
"Costa Rica","CRI",2000,47.4
"Mexico","MEX",2000,53.4
"Peru","PER",2000,49.1
"Argentina","ARG",2001,53.3
"Brazil","BRA",2001,58.4
"Colombia","COL",2001,57.3
"Costa Rica","CRI",2001,51.5
"Peru","PER",2001,51.3
"Argentina","ARG",2002,53.8
"Brazil","BRA",2002,58.1
"Colombia","COL",2002,56
"Costa Rica","CRI",2002,51.8
"Mexico","MEX",2002,50.6
"Peru","PER",2002,53.6
"Argentina","ARG",2003,51
"Brazil","BRA",2003,57.6
"Chile","CHL",2003,51.5
"Colombia","COL",2003,53.6
"Costa Rica","CRI",2003,49.3
"Peru","PER",2003,53.1
"Argentina","ARG",2004,48.5
"Brazil","BRA",2004,56.5
"Colombia","COL",2004,55
"Costa Rica","CRI",2004,48.4
"Mexico","MEX",2004,50.3
"Peru","PER",2004,49.9
"Argentina","ARG",2005,47.8
"Brazil","BRA",2005,56.3
"Colombia","COL",2005,53.9
"Costa Rica","CRI",2005,47.5
"Mexico","MEX",2005,50.9
"Peru","PER",2005,50.4
"Argentina","ARG",2006,46.4
"Brazil","BRA",2006,55.6
"Chile","CHL",2006,47.7
"Costa Rica","CRI",2006,49.3
"Mexico","MEX",2006,49.7
"Peru","PER",2006,50.3
