"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Argentina",1970,0,0,1.46,737.44
"Ecuador",1970,0,0,2,839.66
"Guatemala",1970,7.6,7.6,1.86,668.29
"Nicaragua",1970,9,9,2.04,931.61
"Panama",1970,0,0,4.04,1044.99
"Paraguay",1970,8.4,8.4,2.11,471.74
"Argentina",1971,0,0,1.7,789.33
"Ecuador",1971,0,0,1.88,904.1
"Guatemala",1971,7.6,7.6,2.03,711.8
"Nicaragua",1971,9,9,2.49,971.94
"Panama",1971,0,0,3.35,1187.27
"Paraguay",1971,8.4,8.4,2.27,509.35
"Argentina",1972,0,0,1.94,823.22
"Ecuador",1972,0,0,1.97,1004.17
"Guatemala",1972,7.6,7.6,1.95,779.48
"Nicaragua",1972,0,0,2.53125,985.34
"Panama",1972,0,0,3.98,1281.89
"Paraguay",1972,8.4,8.4,2.20785714285714,551.09
"Argentina",1973,18.4,18.4,1.78,891.34
"Ecuador",1973,0,0,2.06,1187.53
"Guatemala",1973,7.6,7.6,1.87,821.31
"Nicaragua",1973,0,0,2.5725,1076.08
"Panama",1973,0,0,3.49,1372.03
"Paraguay",1973,5,5,2.14571428571429,581.8
"Peru",1973,0,0,3.39,1031.13
"Argentina",1974,18.4,18.4,1.92,986.57
"Chile",1974,0,0,3.75,1766.75
"Ecuador",1974,0,0,2.15,1176.2
"Guatemala",1974,6.3,6.3,1.79,888.86
"Nicaragua",1974,3.2,3.2,2.61375,1309.21
"Panama",1974,0,0,3.82,1505.43
"Paraguay",1974,5,5,2.08357142857143,654.87
"Peru",1974,0,0,3.37826086956522,1135.35
"Argentina",1975,18.4,18.4,1.84,1036.8
"Chile",1975,0,0,3.59,1611.73
"Ecuador",1975,0,0,2.24,1344.57
"El Salvador",1975,11.9,11.9,0.9,183.19
"Guatemala",1975,6.3,6.3,1.71,990.66
"Nicaragua",1975,3.2,3.2,2.655,1379.55
"Panama",1975,0,0,4.15,1670.72
"Paraguay",1975,5,5,2.02142857142857,759.82
"Peru",1975,0,0,3.36652173913043,1267.15
"Argentina",1976,0,0,1.17,1101.35
"Chile",1976,0,0,3.41666666666667,1755.5
"Ecuador",1976,0,0,2.33,1518.67
"El Salvador",1976,11.9,11.9,0.971739130434783,200.88
"Guatemala",1976,6.3,6.3,1.63,1088.14
"Nicaragua",1976,3.2,3.2,2.69625,1487.55
"Panama",1976,0,0,4.31,1745.84
"Paraguay",1976,5,5,1.95928571428571,838.1
"Peru",1976,0,0,3.35478260869565,1325.88
"Argentina",1977,0,0,1.72,1237.1
"Chile",1977,0,0,3.24333333333333,2011.56
"Ecuador",1977,0,0,2.42,1715.77
"El Salvador",1977,9.3,9.3,1.04347826086957,218.09
"Guatemala",1977,6.3,6.3,1.63235294117647,1230.19
